image,caption,name,price,English_name
https://stardewvalleywiki.com/mediawiki/images/c/cf/Quartz.png,石英,一种常见于洞穴和矿井里的纯净晶体,25,Quartz
https://stardewvalleywiki.com/mediawiki/images/7/74/Earth_Crystal.png,地晶,在地表附近发现的树脂状物质,50,Earth Crystal
https://stardewvalleywiki.com/mediawiki/images/e/ec/Frozen_Tear.png,泪晶,传说是由雪怪眼泪结成的晶体,75,Frozen Tear
https://stardewvalleywiki.com/mediawiki/images/5/5b/Fire_Quartz.png,火水晶,一种常见于熔岩附近的火红色晶体,100,Fire Quartz
https://stardewvalleywiki.com/mediawiki/images/6/6a/Emerald.png,绿宝石,一种亮绿色的珍贵宝石,250,Emerald
https://stardewvalleywiki.com/mediawiki/images/a/a2/Aquamarine.png,海蓝宝石,一种微微发亮的蓝绿色宝石,180,Aquamarine
https://stardewvalleywiki.com/mediawiki/images/a/a9/Ruby.png,红宝石,一种因其浓艳的颜色和美丽的光泽受人追捧的珍贵宝石,250,Ruby
https://stardewvalleywiki.com/mediawiki/images/2/2e/Amethyst.png,紫水晶,一种紫色的水晶,100,Amethyst
https://stardewvalleywiki.com/mediawiki/images/a/a5/Topaz.png,黄水晶,很常见，但是因为漂亮还是很有价值,80,Topaz
https://stardewvalleywiki.com/mediawiki/images/7/7e/Jade.png,翡翠,一种淡绿色的装饰石,200,Jade
https://stardewvalleywiki.com/mediawiki/images/e/ea/Diamond.png,钻石,一种稀有且贵重的宝石,750,Diamond
https://stardewvalleywiki.com/mediawiki/images/5/56/Prismatic_Shard.png,五彩碎片,一种来源未知的超稀有强力材料,2000,Prismatic Shard
https://stardewvalleywiki.com/mediawiki/images/6/6e/Tigerseye.png,虎眼石,它上面的金色的条纹使这块宝石拥有了温暖的光泽,275,Tigerseye
https://stardewvalleywiki.com/mediawiki/images/3/3c/Opal.png,猫眼石,它的内部结构导致它能够反射出彩虹的光辉,150,Opal
https://stardewvalleywiki.com/mediawiki/images/6/60/Fire_Opal.png,赤红猫眼石,一种非常罕见的猫眼石，它得名于它上面的红色斑点,350,Fire Opal
https://stardewvalleywiki.com/mediawiki/images/7/7c/Alamite.png,透闪石,它与众不同的荧光使它成为许多岩石收集爱好者的最爱,150,Alamite
https://stardewvalleywiki.com/mediawiki/images/9/98/Bixite.png,黑方石,黑色的金属矿石。有着四四方方的结构。,300,Bixite
https://stardewvalleywiki.com/mediawiki/images/a/aa/Baryte.png,重晶石,最好的重晶石看起来就像沙漠玫瑰,50,Baryte
https://stardewvalleywiki.com/mediawiki/images/6/6b/Aerinite.png,青泥石,这个晶石不可思议地轻,125,Aerinite
https://stardewvalleywiki.com/mediawiki/images/9/97/Calcite.png,方解石,这个黄色的水晶上有星星点点的荧光突起,75,Calcite
https://stardewvalleywiki.com/mediawiki/images/d/d4/Dolomite.png,白云石,有时会在珊瑚礁上出现，大部分时候是在水下火山附近。,300,Dolomite
https://stardewvalleywiki.com/mediawiki/images/a/aa/Esperite.png,硅钙石,受到激发后，这种晶石会发出明亮的绿色荧光,100,Esperite
https://stardewvalleywiki.com/mediawiki/images/4/4a/Fluorapatite.png,氟磷灰石,人类牙齿中含有少量的这种物质,200,Fluorapatite
https://stardewvalleywiki.com/mediawiki/images/5/54/Geminite.png,杰明石,出现时总是大量聚集在一起,150,Geminite
https://stardewvalleywiki.com/mediawiki/images/3/3f/Helvite.png,日光榴石,出现的时候总按三角形排列,450,Helvite
https://stardewvalleywiki.com/mediawiki/images/4/4b/Jamborite.png,绿水镍矿,这些晶石是如此紧密地排列在一起，以至于它们看起来都有些模糊了。,150,Jamborite
https://stardewvalleywiki.com/mediawiki/images/c/c3/Jagoite.png,铁铅矿,含有大量的小水晶，让它闪闪发光,115,Jagoite
https://stardewvalleywiki.com/mediawiki/images/e/e4/Kyanite.png,蓝晶石,几何面如同玻璃般光滑,250,Kyanite
https://stardewvalleywiki.com/mediawiki/images/0/06/Lunarite.png,酸性月岩,这些坑坑洼洼的矿石会紧密的聚集在一起,200,Lunarite
https://stardewvalleywiki.com/mediawiki/images/a/ad/Malachite.png,孔雀石,一种非常受欢迎的装饰品，经常用在雕塑中，也被用来做绿色的颜料,100,Malachite
https://stardewvalleywiki.com/mediawiki/images/0/05/Neptunite.png,柱星叶石,一种黝黑的晶石，反光性一般都比较好,400,Neptunite
https://stardewvalleywiki.com/mediawiki/images/3/31/Lemon_Stone.png,柠檬石,有些人说这种粉状的晶石是矮人的佳肴,200,Lemon Stone
https://stardewvalleywiki.com/mediawiki/images/5/53/Nekoite.png,新硅钙石,这些精致的碎片能够拼成一片小小的粉色牧场,80,Nekoite
https://stardewvalleywiki.com/mediawiki/images/4/41/Orpiment.png,雌黄,尽管它毒性很强，它还是有广泛的加工以及制药用途,80,Orpiment
https://stardewvalleywiki.com/mediawiki/images/2/24/Petrified_Slime.png,石化史莱姆,"这小家伙也许有100000岁了",120,Petrified Slime
https://stardewvalleywiki.com/mediawiki/images/1/14/Thunder_Egg.png,雷公蛋,根据传说，愤怒的雷霆神灵会朝彼此扔这些石头,100,Thunder Egg
https://stardewvalleywiki.com/mediawiki/images/6/64/Pyrite.png,黄铁矿,常被称为“蠢材的黄金”,120,Pyrite
https://stardewvalleywiki.com/mediawiki/images/f/f1/Ocean_Stone.png,海洋石,古老的传说声称这些石头是远古美人鱼的镶嵌画,220,Ocean Stone
https://stardewvalleywiki.com/mediawiki/images/d/d0/Ghost_Crystal.png,幽灵水晶,这块水晶的附近有着冰冷的光环,200,Ghost Crystal
https://stardewvalleywiki.com/mediawiki/images/9/9b/Jasper.png,碧玉,仔细打磨之后，这块石头能发出迷人的光彩。几千年以来都被人们作为奖品。,150,Jasper
https://stardewvalleywiki.com/mediawiki/images/1/19/Celestine.png,天青石,有些早期生物的骨头的成分就是这种石头,125,Celestine
https://stardewvalleywiki.com/mediawiki/images/8/82/Marble.png,大理石,一种非常受欢迎的雕塑和建筑原料,110,Marble
https://stardewvalleywiki.com/mediawiki/images/d/d6/Sandstone.png,沙岩,一种常见的石头，有着红色和棕色的辉纹,60,Sandstone
https://stardewvalleywiki.com/mediawiki/images/4/4a/Granite.png,花岗岩,有着斑点的矿石，经常用于建筑,75,Granite
https://stardewvalleywiki.com/mediawiki/images/2/22/Basalt.png,玄武岩,在灼热的岩浆附近形成,175,Basalt
https://stardewvalleywiki.com/mediawiki/images/4/4e/Limestone.png,石灰石,非常常见的一种石头。价值不高。,15,Limestone
https://stardewvalleywiki.com/mediawiki/images/8/81/Soapstone.png,皂石,因为它质地比较柔软，很适合用来雕刻,120,Soapstone
https://stardewvalleywiki.com/mediawiki/images/b/b1/Hematite.png,赤铁矿,一种主要成分为铁的矿石，带有一些特别的磁性。,150,Hematite
https://stardewvalleywiki.com/mediawiki/images/5/52/Mudstone.png,泥石,有细密的纹理，是上古的粘土或者泥巴变成的。,25,Mudstone
https://stardewvalleywiki.com/mediawiki/images/2/23/Obsidian.png,黑曜石,一种火山岩，当岩浆极速冷却时就会形成。,200,Obsidian
https://stardewvalleywiki.com/mediawiki/images/9/97/Slate.png,板岩,一种火山岩，当岩浆极速冷却时就会形成。,85,Slate
https://stardewvalleywiki.com/mediawiki/images/d/d9/Fairy_Stone.png,精灵石,古老的矿工歌谣里说，这些石头是古代精灵的骨头做的。,250,Fairy Stone
https://stardewvalleywiki.com/mediawiki/images/3/3f/Star_Shards.png,陶瓷碎片,没有人知道它们拼起来是什么样子。有些科学家声称它们的分子架构不符合以往的自然规律。,500,Star Shards
https://stardewvalleywiki.com/mediawiki/images/4/43/Geode.png,晶球,你可以找铁匠破开这块晶球。,50,Geode
https://stardewvalleywiki.com/mediawiki/images/b/bf/Frozen_Geode.png,冰封晶球,你可以找铁匠破开这块晶球。,100,Frozen Geode
https://stardewvalleywiki.com/mediawiki/images/8/89/Magma_Geode.png,岩浆晶球,你可以找铁匠破开这块晶球。,150,Magma Geode
https://stardewvalleywiki.com/mediawiki/images/0/09/Omni_Geode.png,万象晶球,铁匠能帮你把它敲开。这种晶球包含了多种多样的矿物。,0,Omni Geode